"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Area.m.2.","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Building.Coverage.Ratio...","Maximus.Floor.area.Ratio...","quarter.1","Year"
"4510","Residential Land(Land and Building)","Residential Area","37403","Kagawa Prefecture","Kotohira Town,Nakatado County","Kamikushinashi","Kotohira",60,NA,520,23076.9230769231,"Semi-trapezoidal Shaped",27.5,100,1935,"RC, B","House",NA,"North","Prefectural Road",8,"Non-divided City Planning Area",70,200,"1st",2014
"7645","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Sambommatsu","Sanbonmatsu (Kagawa)",10,NA,120,44166.6666666667,"Semi-square Shaped",10,90,1935,"W","House",NA,"West","Private Road",4,"Non-divided City Planning Area",70,200,"2nd",2009
"3117","Residential Land(Land and Building)","Residential Area","37386","Kagawa Prefecture","Utazu Town,Ayauta County","(No Address)","Utazu",23,NA,165,36363.6363636364,"Rectangular Shaped",11,120,1935,"W","House","Office","Northeast","Town Road",9,"Category I Exclusively Medium-high Residential Zone",60,200,"4th",2019
"5939","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Shionoechoyasuharakamihigashi","Kukodori",150,"2LDK",45,66666.6666666667,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Outside City Planning Area",NA,NA,"2nd",2012
"1991","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Iinochohigashifuta","Marugame",90,NA,250,40000,"Semi-rectangular Shaped",12,120,1935,"W","House","House","Northeast","City Road",4,"Non-divided City Planning Area",70,200,"1st",2016
"2343","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Kamocho","Kamogawa",12,NA,560,35714.2857142857,"Rectangular Shaped",17.3,210,1935,"W","House","House","Southeast","City Road",4,"Non-divided City Planning Area",70,200,"4th",2019
"3685","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Ritsurincho","Ritsurinkoen",7,"3LDK",75,413333.333333333,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Commercial Zone",80,400,"2nd",2014
"7483","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Murechomure","Yakuriguchi",4,NA,190,152631.578947368,"Semi-rectangular Shaped",13,130,1935,"W","House",NA,"Southwest","Private Road",5,"Category I Exclusively Medium-high Residential Zone",60,200,"3rd",2009
"8063","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Danshicho","Kinashi",60,NA,120,141666.666666667,"Semi-square Shaped",9,95,1935,"W","House",NA,"South","City Road",4,"Non-divided City Planning Area",60,200,"2nd",2007
"7716","Residential Land(Land and Building)","Residential Area","37386","Kagawa Prefecture","Utazu Town,Ayauta County","(No Address)","Utazu",60,NA,170,164705.882352941,"Irregular Shaped",9,105,1935,"W","House",NA,"West","Private Road",5,"Category I Exclusively Medium-high Residential Zone",60,200,"4th",2009
"468","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kasugagawa",7,"4LDK",85,2e+05,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"1st",2019
"5669","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Furutaimachi","Marugame",10,NA,160,38125,"Semi-rectangular Shaped",8,95,1935,"W","House","House","West","City Road",2.6,"Commercial Zone",80,400,"4th",2015
"6084","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Hamanocho","Takamatsu (Kagawa)",6,"2DK",70,214285.714285714,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Category II Residential Zone",60,200,"3rd",2012
"2697","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",5,NA,120,116666.666666667,"Semi-rectangular Shaped",7,90,1935,"W","House",NA,"West","City Road",4,"Category I Residential Zone",60,200,"4th",2017
"6454","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",22,NA,165,30303.0303030303,"Rectangular Shaped",16.8,125,1935,"W","House",NA,"North","Private Road",4.2,"Non-divided City Planning Area",60,100,"2nd",2013
"3998","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Tahikamimachi","Busshozan",18,NA,560,10000,"Semi-square Shaped",19,130,1935,"W","House",NA,"North","Private Road",3,"Non-divided City Planning Area",60,200,"1st",2010
"744","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kokubunjichokokubu","Kokubu (Kagawa)",15,NA,195,138461.538461538,"Semi-rectangular Shaped",13,110,1935,"W","House","House","South","City Road",5,"Non-divided City Planning Area",60,100,"1st",2016
"6525","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Niochonio","Takuma",90,NA,280,53571.4285714286,"Semi-rectangular Shaped",18,105,1935,"W","House",NA,"West","City Road",9,"Non-divided City Planning Area",70,200,"2nd",2012
"2081","Residential Land(Land and Building)","Commercial Area","37202","Kagawa Prefecture","Marugame City","Saiwaicho","Marugame",11,NA,560,48214.2857142857,"Semi-rectangular Shaped",16.5,NA,1935,"W","House","Other","Northwest","City Road",22,"Category I Residential Zone",60,200,"2nd",2016
"8687","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Minamigamo","Tadotsu",15,NA,165,157575.757575758,"Semi-rectangular Shaped",12,125,1935,"W","House",NA,"Southeast","Private Road",4.5,"Non-divided City Planning Area",70,200,"1st",2008
"7735","Residential Land(Land and Building)","Residential Area","37403","Kagawa Prefecture","Kotohira Town,Nakatado County","Gojo","Kotohira",15,NA,185,17297.2972972973,"Trapezoidal Shaped",10,60,1935,"W","House",NA,"Northeast","Road",2,"Non-divided City Planning Area",70,200,"4th",2009
"673","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kozaihigashimachi","Kozai",8,"3DK",55,123636.363636364,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"2nd",2017
"608","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Hayashimichi",9,NA,280,8214.28571428571,"Semi-rectangular Shaped",NA,75,1935,"W","House","Other","East","Private Road",4,"Category I Residential Zone",60,200,"1st",2016
"6650","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Saihocho","Showacho (Kagawa)",9,"2LDK",60,86666.6666666667,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd",2013
"8148","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hayashicho","Motoyama (Takamatsu)",21,NA,200,145000,"Irregular Shaped",NA,135,1935,"W","House",NA,"Southeast","Private Road",5,"Category I Residential Zone",60,200,"4th",2007
"346","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamitenjincho","Sanjo (Takamatsu)",19,NA,490,34693.8775510204,"Irregular Shaped",34,85,1935,"W","House",NA,"West","Private Road",4,"Category I Residential Zone",60,200,"3rd",2019
"4193","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takumachotakuma","Takuma",28,NA,1300,9230.76923076923,"&quot;Flag-shaped&quot; etc.",10,145,1935,"W","House","House","North","City Road",8,"Non-divided City Planning Area",70,200,"3rd",2014
"3002","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Nishimura","No_station",NA,NA,185,13513.5135135135,"Rectangular Shaped",10,NA,1935,"W","House",NA,"East","Private Road",3.8,"Outside City Planning Area",NA,NA,"3rd",2019
"445","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kankodori","Kawaramachi",5,"2LDK",50,150000,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Commercial Zone",80,600,"3rd",2020
"6103","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Bancho","Kawaramachi",15,NA,155,258064.516129032,"Rectangular Shaped",14,95,1935,"RC","House",NA,"West","City Road",11,"Category II Exclusively Medium-high Residential Zone",60,200,"2nd",2012
"5440","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Busshozancho","Busshozan",17,NA,175,154285.714285714,"Semi-shaped",11.5,110,1935,"W","House","House","East","Private Road",5,"Non-divided City Planning Area",60,100,"4th",2015
"7992","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Sakuramachi","Ritsurin",2,"1K",20,145000,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Neighborhood Commercial Zone",80,300,"2nd",2007
"2405","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Hayashidacho","Kamogawa",60,NA,210,85714.2857142857,"Rectangular Shaped",11.9,80,1935,"W","House","House","Northwest","City Road",6,"Non-divided City Planning Area",70,200,"2nd",2017
"5081","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kaminocho","Sanjo (Takamatsu)",3,"3LDK",80,225000,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category I Residential Zone",60,200,"2nd",2015
"509","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitahigashiguchi",9,NA,360,47222.2222222222,"Semi-rectangular Shaped",16,165,1935,"LS","House","House","South","Private Road",4,"Category I Exclusively Low-story Residential Zone",60,100,"3rd",2020
"4844","Residential Land(Land and Building)","Residential Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","Teshimaieura","No_station",NA,NA,170,39411.7647058823,"Irregular Shaped",10.2,80,1935,"W","House",NA,"North","Town Road",5,"Outside City Planning Area",NA,NA,"2nd",2010
"3344","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Otakamimachi","Busshozan",13,NA,170,47058.8235294118,"Irregular Shaped",18,85,1935,"W","House",NA,"North","Private Road",6.2,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2014
"6476","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoasano","Kukodori",60,NA,155,27096.7741935484,"Square Shaped",11,80,1935,"W","House",NA,"North","Road",3.7,"Category I Residential Zone",60,200,"3rd",2013
"3989","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Tahikamimachi","Ota (Takamatsu)",21,NA,185,145945.945945946,"Rectangular Shaped",12,110,1935,"W","House",NA,"North","Private Road",6,"Non-divided City Planning Area",60,200,"3rd",2010
"889","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Sanjocho","Sanjo (Takamatsu)",14,"3LDK",80,187500,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Neighborhood Commercial Zone",80,300,"4th",2018
"308","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachokawahigashikami","Busshozan",90,NA,530,26415.0943396226,"Irregular Shaped",48,125,1935,"W","House","House","North","Prefectural Road",9,"Non-divided City Planning Area",70,200,"3rd",2017
"2597","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Toyohamachohimehama","Toyohama",9,NA,90,46666.6666666667,"Semi-rectangular Shaped",13,55,1935,"W","House","House","North","Prefectural Road",15,"Non-divided City Planning Area",70,200,"2nd",2018
"3991","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Ikenoshiricho","Kan-onji (Kagawa)",60,NA,200,21500,"Semi-trapezoidal Shaped",13,60,1935,"W","House",NA,"West","City Road",6,"Outside City Planning Area",NA,NA,"1st",2014
"8041","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Takamatsucho","Yashima",9,NA,330,84848.4848484848,"Semi-rectangular Shaped",11,105,1935,"W","House",NA,"North","Private Road",5,"Category I Exclusively Low-story Residential Zone",60,100,"3rd",2008
"1805","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Motoyamacho","Kitahigashiguchi",11,NA,240,125000,"Semi-rectangular Shaped",13.5,125,1935,"W","House","House","South","Private Road",6,"Non-divided City Planning Area",NA,NA,"3rd",2016
"6787","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hayashicho","Motoyama (Takamatsu)",11,NA,200,2e+05,"Semi-square Shaped",14,135,1935,"LS","House",NA,"East","City Road",7.5,"Category I Residential Zone",60,200,"2nd",2013
"3240","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Kotobukicho","Tadotsu",10,NA,270,22222.2222222222,"Semi-rectangular Shaped",14.5,NA,1935,"W","House","House","Southwest","Town Road",5,"Category I Residential Zone",60,200,"3rd",2016
"4356","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Tarumicho","Okada (Takamatsu)",90,NA,330,30000,"Semi-rectangular Shaped",NA,120,1935,"W","House",NA,"West","City Road",4,"Non-divided City Planning Area",70,200,"1st",2010
"8354","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Gobushocho","Marugame",13,NA,190,24210.5263157895,"Semi-trapezoidal Shaped",5,135,1935,"W","House",NA,"North","Road",1.8,"Category I Residential Zone",60,200,"3rd",2007
"1439","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hayashicho","Motoyama (Takamatsu)",28,NA,155,122580.64516129,"Irregular Shaped",18,105,1935,"W","House","House","North","City Road",6,"Quasi-industrial Zone",60,200,"3rd",2019
"761","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kokubunjichoshimmyo","Hashioka",60,NA,185,178378.378378378,"Semi-shaped",16,105,1935,"W","House",NA,"North","Private Road",5,"Category I Exclusively Low-story Residential Zone",60,100,"4th",2019
"515","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitahigashiguchi",14,NA,170,182352.941176471,"Semi-trapezoidal Shaped",14.9,110,1935,"W","House","House","North","Private Road",6,"Non-divided City Planning Area",60,100,"1st",2020
"68","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",12,NA,210,19047.619047619,"Semi-rectangular Shaped",10,135,1935,"W","House","House","East","Private Road",4.2,"Non-divided City Planning Area",60,100,"2nd",2016
"2041","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Kubaracho","Marugame",60,NA,200,30000,"Semi-trapezoidal Shaped",21,75,1935,"W","House",NA,"Southwest","Private Road",3.8,"Non-divided City Planning Area",70,200,"3rd",2019
"6829","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Matsufukucho","Matsushima 2-chome",8,"1LDK",65,2e+05,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Quasi-industrial Zone",60,200,"1st",2013
"8536","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Tsudamachitsuda","Sanukitsuda",7,NA,175,10857.1428571429,"Semi-square Shaped",13.5,75,1935,"W","House",NA,"North","Road",1.5,"Non-divided City Planning Area",70,200,"1st",2008
"7902","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kitacho","Hayashimichi",12,"3LDK",80,121250,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Category I Exclusively Medium-high Residential Zone",60,200,"3rd",2008
"3876","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Kamocho","Kamogawa",12,NA,220,131818.181818182,"Semi-rectangular Shaped",12.8,120,1935,"W","House","House","East","Private Road",6,"Non-divided City Planning Area",70,200,"3rd",2014
"6014","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Tahishimomachi","Ota (Takamatsu)",13,NA,170,194117.647058824,"Semi-shaped",12.5,105,1935,"W","House",NA,"East","Private Road",5,"Non-divided City Planning Area",60,100,"1st",2012
"5917","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Sakuramachi","Ritsurin",2,"1K",20,95000,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Neighborhood Commercial Zone",80,300,"4th",2012
"184","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Otashimomachi","Ota (Takamatsu)",19,NA,200,105000,"Semi-shaped",12,135,1935,"W","House","House","East","Private Road",5,"Category I Exclusively Medium-high Residential Zone",60,200,"4th",2020
"7095","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Yamamotochotsuji","Motoyama (Kagawa)",90,NA,175,21142.8571428571,"Semi-trapezoidal Shaped",10.5,50,1935,"W","House",NA,"Northwest","City Road",2.7,"Outside City Planning Area",NA,NA,"3rd",2013
"7010","Residential Land(Land and Building)","Commercial Area","37205","Kagawa Prefecture","Kan-onji City","Kanonjicho","Kan-onji (Kagawa)",6,NA,240,33333.3333333333,"Rectangular Shaped",7.5,130,1935,"W","House",NA,"Northeast","City Road",9,"Commercial Zone",80,400,"3rd",2013
"7501","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",19,"3LDK",70,121428.571428571,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Category I Residential Zone",60,200,"1st",2009
"4016","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Tsuruichicho","Kozai",12,NA,200,130000,"Semi-rectangular Shaped",NA,150,1935,"W","House",NA,"North","Private Road",6,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2010
"4349","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kasugacho","Kitacho",18,NA,250,128000,"Semi-rectangular Shaped",14,125,1935,"W","House",NA,"North","Private Road",5,"Non-divided City Planning Area",60,100,"4th",2011
"8581","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takumachotakuma","Takuma",60,NA,195,123076.923076923,"Rectangular Shaped",13,140,1935,"S","House",NA,"Northeast","City Road",6,"Non-divided City Planning Area",70,200,"3rd",2007
"5432","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Fuseishicho","Sanjo (Takamatsu)",11,NA,160,231250,"Rectangular Shaped",8.5,115,1935,"LS","House","House","North","Private Road",5,"Category I Exclusively Low-story Residential Zone",60,100,"1st",2015
"2901","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takumachotakuma","Takuma",60,NA,280,117857.142857143,"Trapezoidal Shaped",17.8,140,1935,"W","House","House","Southwest","City Road",5,"Non-divided City Planning Area",70,200,"4th",2016
